2 beat	1	A simple weave, with each poi doing one downbeat on opposite sides of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	It is encouraged to learn both the "left hand over" & "right hand over" variations (refer to video)	Dont be afraid to exaggerate your arm movements as much as possible so you dont hit yourself when the poi crosses to the other side (applies to all other weaves and n beat moves)	Drexfactor	https://youtu.be/hanrZuOio5c					3 beat	Buzzsaw		no video yet	Weaves
Buzzsaw	1	Both poi spin in the same direction in split time to the side of the body	Try to keep the poi perpendicular to the floor and parallel to each other	The poi should be spinning in split time; when one poi is pointing down, the other is pointing up	Its easier to start learning the move with shorter poi; we can do this by partially wrapping the poi in our arms (applies to corkscrew)		Playpoi	https://www.youtube.com/watch?v=sPFYB4iAv2g								https://www.youtube.com/embed/PtKxrXvECJ0	Weaves
Butterfly	1	Same time, same direction done with both hands together	The planes of each hand are on a slight slant to prevent the poi from hitting each other	Start with your hands farther apart and work your way to getting them right next to each other	It may be easier to learn the move in split time first so the poi dont hit each other, then purposely let the timing sync up until you get into same time		Drexfactor	https://www.youtube.com/watch?v=ZxjROR4VwDU	Playpoi	https://www.youtube.com/watch?v=qiBei0PGjvw						https://www.youtube.com/embed/dRon1qTNlHY	Other
Reel Turn	1	Both poi switch spin direction through the turning the body	Point your wrists down while turning	This move is in same time so both poi should point downwards at the same time	Practice two beat spins with either hand pointing to either the left or the ride side of your body until you are able to move the motions closer to your body (applies to windmill and watermill)		Drexfactor	https://www.youtube.com/watch?v=pXu9rXZGKm0	Playpoi	https://www.youtube.com/watch?v=r4-8yrkHEbQ			Chase the Sun			https://www.youtube.com/embed/DOSicr4bs28	Transitions
Corkscrew	1	A two beat weave done in floor plane	Your hands should be pointing in opposite directions at all times	Imagine each poi making a figure 8, alternating between top and bottom. Additioanlly, one poi always follows the other's path.			Drexfactor	https://www.youtube.com/watch?v=-StRP733ucQ	Playpoi	https://www.youtube.com/watch?v=-o_kPvsXgqA			Windmill			no video yet	Weaves
Forearm Wrap	1	A wrap that hits the forearm	Aim to hit your arm an inch above the top of the glowstick; there's a sweet spot that shouldn't hurt your arm				AquaThane	https://www.youtube.com/watch?v=-ug9tZ-Ovbc					Bicep Wrap	Shin Wrap		https://www.youtube.com/embed/k-TRiABeWy0	Wraps
3 beat	2	A simple weave, with each poi doing one downbeat on one side of the body and two downbeats on the opposite side of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	This also applies to 2 beat weaves, but imagine each poi tracing the lines of an "X" when they go in front of you		Drexfactor	https://www.youtube.com/watch?v=NbXkW-zw7fw					Reverse 3 beat	Buzzsaw		https://www.youtube.com/embed/SkPos3Bp_lU	Weaves
Reverse 3 beat	2	Similar to the 3 beat weave, but in reverse	This is the only move that has a "reverse" page because it is usually the first move you learn in reverse. Almost every move after this has a reverse version.				Drexfactor	https://www.youtube.com/watch?v=msSZBhKRopo	Drexfactor (old)	https://www.youtube.com/watch?v=IC0rO-Db5fI	AquaThane	https://www.youtube.com/watch?v=xADKYi2Z7JA	3 beat			https://www.youtube.com/embed/41IfnPgp0TA	Weaves
Windmill	2	A two beat weave done above the head in wall plane	Because this is one of the first moves that is learned in wall plane, it will take time to get used to spinning your poi without slanting	One of the most difficult parts of this move is getting it into split time. Count beats in your head if it helps.	Most of the move should be done through wrist movement	You can do same time shoulder reels first, and then purposely let the timing unsync untill you get into split time (applies to hip reels in watermill)	Drexfactor	https://www.youtube.com/watch?v=NKdWI3PYqGs	Drexfactor (1 min)	https://www.youtube.com/watch?v=AmwQYLokqNA	Playpoi	https://www.youtube.com/watch?v=-o_kPvsXgqA	Corkscrew	Fountain	Vitruvian	https://www.youtube.com/embed/C45qgsE9gyE	Weaves
Vitruvian	2	A windmill, but the front beats are opened up	Opening the arms up may feel uncomfortable, but you can practice it with one hand at a time				Drexfactor	https://www.youtube.com/watch?v=VVvZ_1dZZ5E					Windmill			https://www.youtube.com/embed/RC299shRcjc	Transitions
Watermill	2	A windmill by the hips	Both wrists should point inward when the poi goes behind you	Make sure that the timing is split time. You can count in your head for this.			Playpoi	https://www.youtube.com/watch?v=ry9X6Wqbqhc	AquaThane	https://www.youtube.com/watch?v=SiA-Qbrkw7k			Windmill			https://www.youtube.com/embed/98uw4xr_Ti8	Weaves
Chase the Sun	2	A combination of a hip and shoulder reel turns	Both poi should be in same time (downbeats are at the same time)	Be comfortable with reel turns			Playpoi	https://www.youtube.com/watch?v=Pr0BIlceb6g	Drexfactor	https://www.youtube.com/watch?v=h2CChcNsPRI			Reel Turns			https://www.youtube.com/embed/ZSiCvkz9FDk	Body Tracers
Bicep Wrap	2	A wrap that hits the bicep	Make sure that your arm is bent perpendicular to your body (not outwards)				AquaThane	https://www.youtube.com/watch?v=-ug9tZ-Ovbc					Chicken Wrap			https://www.youtube.com/embed/_K2udk_ukk8	Wraps
Shin Wrap	2	A wrap that hits the shin	Balance. Goes well with a side of chicken (wrap)!				AquaThane	https://www.youtube.com/watch?v=-ug9tZ-Ovbc					Forearm Wrap	Chicken Wrap		https://www.youtube.com/embed/xI9600BhynM	Wraps
Fountain	3	A combination of the forward and reverse 3 beat and windmill	A difficult part of this move is the transition from r3b to windmill. If you end your r3b in front of you, the windmill should start behind you and vice versa.	Spend as much time as you need at each section of the fountain. You can always cut down how long you spend at each part as you get more comfortable.			Playpoi	https://www.youtube.com/watch?v=_obl7KD8YSI	Drexfactor	https://www.youtube.com/watch?v=MifXKbEEo34			3 beat	Reverse 3 beat	Windmill	https://www.youtube.com/embed/m8QkB0bytUw	Weaves
Spiral Wrap	3	A wrap where both poi converge around the hands	Both poi should be spinning in the same direction with wall planes bent slightly inward	When entering a spiral wrap, let go of the string between your fingertips so it can naturally wrap around your hands			Drexfactor	https://www.youtube.com/watch?v=FjBYYRpXcQk	Drexfactor (1 min)	https://www.youtube.com/watch?v=R27tB71M9mY	Playpoi	https://www.youtube.com/watch?v=LxuBF2iZuv4				https://www.youtube.com/embed/kfCzNoaQN4Q	Wraps
Chicken Wrap	3	A wrap that hits the tricep behind the body	Shove your arm behind you (pretend you are elbowing someone) and wrap on your tricep)										Bicep Wrap			https://www.youtube.com/embed/LnIQqCLgagY	Wraps
Pendulum	3	A movement with poi that restricts movement to the bottom half of the spin	This move is relatively simple, but takes a lot of practice to clean. Keep the pendulums as controlled as you can.	swing swong			Drexfactor	https://www.youtube.com/watch?v=vB6D8wsjTNg								https://www.youtube.com/embed/gZSBv4-6fEo	Pendulums
Frontals	4	A 3 petal antispin flower done with each hand, pointed outwards from the center	Frontals are a two downbeat move. If you count when the poi faces downwards (6 o'clock) you should be able to count 2 per cycle.	Frontals are one of the first moves people learn that allow them to practice against a wall; if you do so managing planes becomes way easier.			Drexfactor	https://www.youtube.com/watch?v=B_xvSXlbSaw&feature=youtu.be&t=233								https://www.youtube.com/embed/QoF94JGJqHo	Flowers
