2 beat	1	A simple weave, with each poi doing one downbeat on opposite sides of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	It is encouraged to learn both the "left hand over" & "right hand over" variations (refer to video)	Dont be afraid to exaggerate your arm movements as much as possible so you dont hit yourself when the poi crosses to the other side (applies to all other weaves and n beat moves)	Drexfactor	https://youtu.be/hanrZuOio5c					3 beat	Buzzsaw		a	None
Buzzsaw	1	Both poi spin in the same direction in split time to the side of the body	Try to keep the poi perpendicular to the floor and parallel to each other	The poi should be spinning in split time; when one poi is pointing down, the other is pointing up	Its easier to start learning the move with shorter poi; we can do this by partially wrapping the poi in our arms (applies to corkscrew)		Playpoi	https://www.youtube.com/watch?v=sPFYB4iAv2g								https://www.youtube.com/embed/PtKxrXvECJ0	None
Butterfly	1	Same time, same direction done with both hands together	The planes of each hand are on a slight slant to prevent the poi from hitting each other	Start with your hands farther apart and work your way to getting them right next to each other	It may be easier to learn the move in split time first so the poi dont hit each other, then purposely let the timing sync up until you get into same time		Drexfactor	https://www.youtube.com/watch?v=ZxjROR4VwDU	Playpoi	https://www.youtube.com/watch?v=qiBei0PGjvw						https://www.youtube.com/embed/dRon1qTNlHY	None
Reel Turn	1	Both poi switch spin direction through the turning the body	Point your wrists down while turning	This move is in same time so both poi should point downwards at the same time	Practice two beat spins with either hand pointing to either the left or the ride side of your body until you are able to move the motions closer to your body (applies to windmill and watermill)		Drexfactor	https://www.youtube.com/watch?v=pXu9rXZGKm0	Playpoi	https://www.youtube.com/watch?v=r4-8yrkHEbQ			Chase the Sun			https://www.youtube.com/embed/DOSicr4bs28	None
Corkscrew	1	A two beat weave done in floor plane	Your hands should be pointing in opposite directions at all times	Imagine each poi making a figure 8, alternating between top and bottom. Additioanlly, one poi always follows the other's path.			Drexfactor	https://www.youtube.com/watch?v=-StRP733ucQ	Playpoi	https://www.youtube.com/watch?v=-o_kPvsXgqA			Windmill			a	None
Forearm Wrap	1	A wrap that hits the forearm	Aim to hit your arm an inch above the top of the glowstick; there's a sweet spot that shouldn't hurt your arm				AquaThane	https://www.youtube.com/watch?v=-ug9tZ-Ovbc					Bicep Wrap	Shin Wrap		https://www.youtube.com/embed/k-TRiABeWy0	None
3 beat	2	A simple weave, with each poi doing one downbeat on one side of the body and two downbeats on the opposite side of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	This also applies to 2 beat weaves, but imagine each poi tracing the lines of an "X" when they go in front of you		Drexfactor	https://www.youtube.com/watch?v=NbXkW-zw7fw					Reverse 3 beat	Buzzsaw		https://www.youtube.com/embed/SkPos3Bp_lU	None
Reverse 3 beat	2	Similar to the 3 beat weave, but in reverse	This is the only move that has a "reverse" page because it is usually the first move you learn in reverse. Almost every move after this has a reverse version.				Drexfactor	https://www.youtube.com/watch?v=msSZBhKRopo	Drexfactor (old)	https://www.youtube.com/watch?v=IC0rO-Db5fI	AquaThane	https://www.youtube.com/watch?v=xADKYi2Z7JA	3 beat			https://www.youtube.com/embed/41IfnPgp0TA	None
Windmill	2	A two beat weave done above the head in wall plane	Because this is one of the first moves that is learned in wall plane, it will take time to get used to spinning your poi without slanting	One of the most difficult parts of this move is getting it into split time. Count beats in your head if it helps.	Most of the move should be done through wrist movement	You can do same time shoulder reels first, and then purposely let the timing unsync untill you get into split time (applies to hip reels in watermill)	Drexfactor	https://www.youtube.com/watch?v=NKdWI3PYqGs	Drexfactor (1 min)	https://www.youtube.com/watch?v=AmwQYLokqNA	Playpoi	https://www.youtube.com/watch?v=-o_kPvsXgqA	Corkscrew	Fountain	Vitruvian	https://www.youtube.com/embed/C45qgsE9gyE	None
Vitruvian	2	A windmill, but the front beats are opened up	Opening the arms up may feel uncomfortable, but you can practice it with one hand at a time				Drexfactor	https://www.youtube.com/watch?v=VVvZ_1dZZ5E					Windmill			https://www.youtube.com/embed/RC299shRcjc	None
Watermill	2	A windmill by the hips	Both wrists should point inward when the poi goes behind you	Make sure that the timing is split time. You can count in your head for this.			Playpoi	https://www.youtube.com/watch?v=ry9X6Wqbqhc	AquaThane	https://www.youtube.com/watch?v=SiA-Qbrkw7k			Windmill			https://www.youtube.com/embed/98uw4xr_Ti8	None
