Advanced Movesets and Freestyle	10	There are SO many moves in the Whipping category! It's impossible to give a name and tutorial on each. The cool thing about whipping is EVERYTHING is interwoven and connected! Use the whip to navigate around your body like a snake with Bodylacing or make it an extension of yourself through Whiplash, the possibilites are endless! The biggest thing is confidence within yourself--that is the only way you'll be able to freestyle and make your own routine! You got this love! -Khandy	Watch Whip combos online or search up old StuyFlow performances to practice!													a	
BLArmLacing	1	Lacing around the arm consistently															
BLCrossLegLacing	3	A beginner transition from one leg to the other. Feels like you are weaving the whip back and forth. 	Remember the concept of the Open Torso Position, the Open Position can be used in any type of lacing move; when you are able to go to Open position, you will be able to move your hands and close on another body part to finish your transition!				Fiberflies	https://youtu.be/gg3tucQ-S24								https://www.youtube.com/embed/P8drbpbJG30	Body-Lacing
BLElbowLacing	1	A beginner move which is mostly used as a transition around the body in which you lace the whip up your arm and around the elbow.	This is mainly used to transition from your torso lace to upper-body laces in a smooth manner				Fiberflies	https://youtu.be/Brg2U10vPXc								https://www.youtube.com/embed/D77Hp9WdR5g	Body-Lacing
BLKhandysHoeDrop	5	Slowly squat down with knees outwards and wrap from right knee to left knee (or vice versa)	Release your inner Khandy. 				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1409								https://www.youtube.com/embed/ie07VbosEyI	
BLKneeLacing	5	A lace around a bent-knee while kicking out when the time is right to create a mix between a lace and a lash	Repeat the move to see when the timing is good for you! 	Make sure you tuck/bend your knee to the extreme so the whip can wrap well			Fiberflies	https://youtu.be/o37DvJ6gzvI								https://www.youtube.com/embed/Gi_se3dzFKE	Body-Lacing/Whiplash
BLLegLacing	3	A beginner move in the "Body-Lacing" skillset. Same mechanic and concept as a torso lace but reflected on 1) a leg or 2) both legs	You are essentially taking a body lace and transferring to a leg, your hand movements stay the same or similar! Don't overthink it	Once you have learned your torso and leg lace, practice transitioning to and from both. 			StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1363	Fiberflies	https://youtu.be/gg3tucQ-S24						https://www.youtube.com/embed/P8drbpbJG30	Body-Lacing
BLNeckLacing	5	An intermediate move in the "Body-Lacing" skillset. This has a variety of ways to be performed. Essentially a lace around the neck.	To make this move look snazzier, we usually use the elbow lace to transition into the neck lace and raise our elbows again to transition out of this move.				Fiberflies	https://youtu.be/Brg2U10vPXc								https://www.youtube.com/embed/yOvX2CIGtWw	Body-Lacing
BLTorsoLacing	3	A beginner move in the "Body-Lacing" skillset. This move is extremely important and central to all Body-Lacing moves. A basic/smooth wrap around the waist.	It is important to NOT let go of the whip handle; the handle should always stay in your dominant hand.	Make sure you are attentive visually; you may think you are doing the right thing when you aren't.	Once you can do lace by gripping with your fingers, slowly transition to lacing with your WRIST; this will create for smoother/flowier laces.		StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1357	Fiberflies	https://youtu.be/n-wLQW-tkh8						https://www.youtube.com/embed/yoxNcFHJODk	Body-Lacing 
FW2BeatWeave	5	Same as a 2 Beat Whiplash but shift control from handle to fibers															
FW2BeatWeaveReverse	5	Same as a 2 Beat Whiplash but shift control from handle to fibers															
FWFountain	6	Fountain holding fibers and NOT handle															
FWArmWrap	6	Use an arm to guide the whip back and forth														https://www.youtube.com/embed/QmtxUtA8rOs	
FWSuicideWrap	10	Essentially an advanced neck wrap in which you fiberwield and wrap around the neck a couple of times and then unwrap	This is a VERY advanced move! Please make sure someone is with you and that you are wearing the appropriate gear when you practice! You have been warned.				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1404								a	
FWUnderTheLegWrap	6	Fiberwield and spin under the knee and back	Make sure you EXAGGERATE this move so you don't get hurt				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1396								https://www.youtube.com/embed/hr_-yXahg6I	
WL2BeatWhiplash	3	A move integrated from the Poi/Glowsticking arts, directing the whip between the two parallels	Learning a 2 Beat Whiplash is easier for most on the whips compared to glowsticking (because of the increased control), you can indirectly learn how to string through whipping!													a	Whiplash
WL2BeatWhiplashReverse	3	A move integrated from the Poi/Glowsticking arts, directing the whip between the two parallels	Learning a 2 Beat Whiplash is easier for most on the whips compared to glowsticking (because of the increased control), you can indirectly learn how to string through whipping!														
WL3BeatWeave	7	3 Beat Weave derived from Poi/Glowsticking movesets	Watch 3 Beat Weave videos from PlayPoi or DrexFactorPoi													https://www.youtube.com/embed/AF7FnQdHt6E	
WL3BeatWeaveReverse	7	3 Beat Weave Reverse derived from Poi/Glowsticking movesets	Watch 3 Beat Weave videos from PlayPoi or DrexFactorPoi														
WLArmWrap	4	Whiplash wrapping around an arm and then whiplashes out  	Very similar to wrapping concept in Glowsticking				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1386								https://www.youtube.com/embed/D77Hp9WdR5g	
WLBeyBlade	6	Starting with a closed torso lace, whip outwards and then above and then back into a torso lace	Your first whiplash move! This means you are holding onto the handle with one hand while the fibers are flying around you! Be careful and wear protective clothes, this skillset will hurt!													https://www.youtube.com/embed/gJ7KYS7xY1Y	Whiplash
WLButterfly	2	2 whips spinning BOTH inwards OR outwards at the same time														https://www.youtube.com/embed/-sKKLjzzFBA	
WLFountain1x	6	Essentially combines the 2 Beat Whiplashes smoothly creating a single handed Fountain!	 Make sure you move your body with the whip so you avoid hitting yourself													https://www.youtube.com/embed/k-xgq7sSHL0 https://www.youtube.com/embed/ddC0jEsP8es	Whiplash
WLFountain2x	8	Combines the 3 Beat Weaves and Windmill to make a Fountain	Same concept as Single Whip Fountain but with another Whip doing split-time!				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1427								https://www.youtube.com/embed/f_meq0PvyRY	
WLWindmill	6	Essentially a 2 beat weave above the head	Refer to Poi/Glowsticking teachers or videos													https://www.youtube.com/embed/D9e_2gJA5eY	
